店名,住所,台数
アピタ蒲郡店,愛知県蒲郡市港町１７－１０ アピタ蒲郡,1台
アピタ西尾店,愛知県西尾市高畠町三丁目２３－９ ヴェルサウォーク西尾,1台
シャオ店内ムー大陸,愛知県西尾市下町御城下２３－１ おしろタウンシャオ,1台
ファンタジーウエストタウン,愛知県西尾市高畠町３－２３－９ ヴェルサウォーク西尾３Ｆ,1台
モーリーファンタジー豊川店,愛知県豊川市開運通り２－３１ イオン豊川２階,4台
豊川メトロポリス,愛知県豊川市下長山町上アライ１４－１ 豊川コロナワールド,1台
アピタ向山店,愛知県豊橋市向山町字中畑１－１ アピタ向山,2台
タイトーステーション豊橋店,愛知県豊橋市藤沢町１４１－４ ホリディスクエア内アミューズメントビル１Ｆ,1台
モーリーファンタジー豊橋南店,愛知県豊橋市野依町字落合１－１２ イオン豊橋南,1台
イオン高橋店,愛知県豊田市東山町１－９５０－１ グリーンシティ,1台
プラサカプコン豊田店,愛知県豊田市東山町１－５－１ グリーンシティ３階ゲームコーナー,3台
モーリーファンタジー豊田店,愛知県豊田市広路1-1イオンスタイル豊田3階,3台
ＧＡＺＡ,愛知県豊田市喜多町１丁目１４０番地 ＧＡＺＡ３Ｆ,1台
namcoイオンモール長久手店,愛知県長久手市長久手中央土地区画整理事業地内 イオンモール長久手店3階,2台
アピタ長久手店,愛知県長久手市戸田谷９０１－１ アピタ長久手,3台
モーリーファンタジー長久手店,愛知県長久手市長久手中央土地区画整理事業地内5・10・11街区 イオンスタイル長久手店3階,2台
花しょうぶ,愛知県長久手市丁子田１７－１３ 花しょうぶ,1台
ファンタジックランド高浜店,愛知県高浜市神明町８－２０－１ Ｔぽーと２階,1台
アピタ大口店,愛知県丹羽郡大口町丸２－３６ アピタ大口,1台
モーリーファンタジー扶桑店,愛知県丹羽郡扶桑町大字南山名字高塚５－１ イオン扶桑２階,2台
楽市楽座扶桑店,愛知県丹羽郡扶桑町南山名高塚５番地 イオンモール扶桑２階,1台
Ｇ－ＥＸＰＲＥＳＳアピタ大口店,愛知県丹羽郡大口町丸２－３６ アピタ大口２階,1台
アピタ阿久比店,愛知県知多郡阿久比町大字椋岡字徳吉１－１２ アピタ阿久比,2台
トイザらス東浦店,愛知県知多郡東浦町緒川申新田二区６７－８ イオンモール東浦２Ｆ,1台
モーリーファンタジー東浦店,愛知県知多郡東浦町大字緒川字旭１３－２ イオン東浦,4台
ユーズランド東浦店,愛知県知多郡東浦町緒川申新田二区６７－８ イオンモール東浦２階,1台
アピタ名古屋空港店,愛知県西春日井郡豊山町大字豊場字林先１番８ エアポートウォーク名古屋,1台
ナムコランドヒーローズキャンプ名古屋店,愛知県西春日井郡豊山町豊場字林先１番地８ エアポートウォーク名古屋３Ｆ,2台
ファミリーアミューズメント幸田店,愛知県額田郡幸田町大草山添１７０ ピアゴ幸田店 １階,1台
ポート24幸田店,愛知県額田郡幸田町高力字沖原１５ カメリアガーデン幸田,1台
