店名,住所,台数
namcoクロスガーデン多摩店,東京都多摩市落合２－３３ クロスガーデン多摩３Ｆ,1台
イトーヨーカドー多摩センター店,東京都多摩市落合１－４４ イトーヨーカドー多摩センター,1台
タイトーステーション多摩センター店,東京都多摩市落合１－４５－１ 丘の上パティオ,1台
トイザらス多摩店,東京都多摩市東寺方６６０－１ トイザらス多摩,2台
京王百貨店 聖蹟桜ヶ丘店 7階玩具売場,東京都多摩市関戸１－１０－１ 京王百貨聖蹟桜ヶ丘,1台
モーリーファンタジー小平店,東京都小平市小川東町2-12-1 ダイエー小平,2台
イトーヨーカドー武蔵小金井店,東京都小金井市本町６－１４－９ イトーヨーカドー武蔵小金井,2台
ハローズガーデン武蔵小金井店,東京都小金井市本町６－１４－９ イトーヨーカドー武蔵小金井４階,1台
セガワールド府中,東京都府中市西原町１－６－２ フレスポ府中,3台
トイザらス府中駅前店,東京都府中市宮町１－５０ くるるＢ１Ｆ,1台
ライフ府中中河原店,東京都府中市住吉町１－８４－１ ライフ府中中河原,1台
モーリーファンタジー多摩平の森店,東京都日野市多摩平2丁目4番1 イオンモール多摩平の森,3台
アミュージアムモリタウン昭島店,東京都昭島市田中町562-1 モリタウン2階,2台
イトーヨーカドー拝島店,東京都昭島市松原町３－２－１２ イトーヨーカドー拝島,1台
イトーヨーカドー昭島店,東京都昭島市田中町５６２－１ モリタウン,1台
ザ・ビッグ昭島アミューズパーク,東京都昭島市 宮沢町500-1 ザ・ビッグ昭島店3階,1台
トイザらス昭島店,東京都昭島市田中町５７３－１－４ モリタウン,1台
イトーヨーカドー東久留米店,東京都東久留米市本町３－８－１ イトーヨーカドー東久留米,3台
モーリーファンタジー東久留米店,東京都東久留米市南沢５－１７ イオン東久留米３階,4台
イトーヨーカドー東大和店,東京都東大和市桜が丘２－１４２－１ イトーヨーカドー東大和,2台
セガワールド東大和,東京都東大和市桜ヶ丘１－１３３０－１９ ＢＩＧＢＯＸ東大和１Ｆ,2台
ハローズガーデン東大和店,東京都東大和市桜が丘２－１４２－１ イトーヨーカドー東大和２階,1台
イトーヨーカドー東村山店,東京都東村山市本町２－２－１９ イトーヨーカドー東村山,1台
イオンモールむさし村山 ノジマイオンモールむさし村山店内玩具コーナー,東京都武蔵村山市榎1丁目1-3 イオンモールむさし村山 3Fノジマ内,1台
タイトーFステーション ダイエー武蔵村山店,東京都武蔵村山市伊奈平3-36-1,1台
ダイエー武蔵村山店,東京都武蔵村山市伊那平3-36-1,1台
モーリーファンタジーむさし村山店,東京都武蔵村山市榎1丁目1番3号 イオンモールむさし村山3階,4台
イトーヨーカドー武蔵境店,東京都武蔵野市境南町２－２－２０ イトーヨーカドー武蔵境,3台
キデイランド吉祥寺店,東京都武蔵野市吉祥寺本町１－１１－５ コピス吉祥寺６階　Ａ棟,1台
プラサカプコン吉祥寺店,東京都武蔵野市吉祥寺本町１－１０－１ いなりやビル１階,4台
ヨドバシカメラマルチメディア吉祥寺,東京都武蔵野市吉祥寺本町１－１９－１ ヨドバシカメラマルチメディア吉祥寺５Ｆ,3台
MrMax町田多摩境店,東京都町田市小山ヶ丘６－１－１０ ＭｒＭａｘ町田多摩境ショッピングセンター,1台
こころっこ町田根岸店,東京都町田市根岸町２３０－７ アメリア町田根岸ショッピングセンター２階,1台
タイトーステーション町田店,東京都町田市原町田６－２１－２３ 松山ビル１Ｆ,2台
ヨドバシカメラマルチメディア町田,東京都町田市原町田１－１－１１ ヨドバシカメラマルチメディア町田,2台
西友新福生店キッズパーク,東京都福生市東町５－１ 西友福生,1台
西友福生店,東京都福生市東町５－１ 西友福生,1台
アミューズメントカフェプレビアメリア稲城,東京都稲城市矢野口2284-1 アメリア稲城ショッピングセンター2F,2台
CLUBSEGA立川,東京都立川市柴崎町３－２－１ サザンビル１階,2台
namcoららぽーと立川立飛店,東京都立川市泉町935-1 ららぽーと立川立飛店3F,1台
タイトーステーション 立川北口店,東京都立川市曙町2-4-5,2台
ビックカメラ立川店,東京都立川市曙町２－１２－２ ビックカメラ立川,3台
西友リヴィン田無店,東京都西東京市田無町２－１－１ 西友リヴィン田無,2台
にこぱ仙川店,東京都調布市若葉町２－２ 島忠ホームズ仙川２Ｆ,1台
アドベンチャーリーフ国領店,東京都調布市国領町８－２－６４ イトーヨーカドー国領３階,1台
イトーヨーカドー国領店,東京都調布市国領町８－２－６４ イトーヨーカドー国領,3台
ビックカメラ京王調布店,東京都調布市小島町2-48-6 トリエ京王調布B館,2台
西友調布店,東京都調布市小島町１－１０－１ 西友調布,1台
namcoザ・モールみずほ16店,東京都西多摩郡瑞穂町高根６２３ 西友ザ・モールみずほ１６,1台
ドラマ瑞穂店,東京都西多摩郡瑞穂町大字武蔵３８２－１ ドラマ瑞穂,1台
モーリーファンタジー日の出店,東京都西多摩郡日の出町大字平井字三吉野桜木237番3 イオンモール日の出,4台
ユーズランド日の出店,東京都西多摩郡日の出町平井三吉野桜木５５７番地 イオンモール日の出３階,1台
HVS倉庫,東京都ダミー,1台
