店名,住所,台数
ピザッカ大東,大阪府大東市住道２−１−１０３イズミヤ内５Ｆ玩具売場,0台
セガワールドアポロ,大阪府大阪市阿倍野区阿倍野筋１−５−３１　アポロビル３Ｆ,0台
セガワールド枚方,大阪府枚方市須山町８３−１　サンシャインプラザ枚方内,0台
エディオン泉北,大阪府堺市南区三原台４−４０−１,0台
ライフ歌島,大阪府大阪市西淀川区歌島２−６−１３,0台
ライフ本庄,大阪府大阪市北区本庄東２−３−３５　玩具売場,0台
ライフ大仙,大阪府堺市堺区大仙西町６−１８４−１　玩具売場,0台
エディオン天満橋,大阪府大阪市中央区天満橋京町１−１京阪シティモール５Ｆ,0台
ライフ箕面,大阪府箕面市稲１−１０−１３−２　玩具売場,0台
ライフ玉串,大阪府東大阪市玉串町東１−６−２０　玩具売場,0台
ライフ庄内,大阪府豊中市庄内栄町５−５−１０　玩具売場,0台
ライフ毛馬,大阪府大阪市都島区毛馬町２丁目２−８　玩具売場,0台
ライフ久宝寺駅前,大阪府八尾市龍華町１−４−３　玩具売場,0台
仔熊近鉄百貨店上本町,大阪府大阪市天王寺区上本町６−１−５５近鉄百貨店上本町店７Ｆ,0台
ＮＩＣＯＰＡ原山台,大阪府堺市南区原山台５−９−８,0台
楽市楽座イオンモール四條畷,大阪府四條畷市砂４丁目３番２号　イオンモール四條畷店３Ｆ　３０２８,0台
楽市楽座イオンモール大阪ドーム,大阪府大阪市西区千代崎３丁目１３番１イオンモール大阪ドームシティ店４階,0台
イズミヤ交野,大阪府交野市私部西１丁目３３−２０　玩具売場,0台
ジョーシン平野加美,大阪府大阪市平野区加美北５−６−４０,0台
ジョーシン東大阪,大阪府東大阪市若江西新町３−１−７,0台
ジョーシン東香里,大阪府枚方市高田１−２０−５０,0台
ジョーシン新大阪,大阪府大阪市淀川区西宮原２−２−１７新大阪センイシティー３号館２階,0台
ジョーシン寝屋川,大阪府寝屋川市昭栄町１８−１,0台
ジョーシン光明池,大阪府和泉市堂町８２４−３６コムボックス１階,0台
エディオン枚方,大阪府枚方市甲斐田新町８−１,0台
エディオン泉大津,大阪府泉大津市千原町１−８８−１,0台
エディオン高槻宮田,大阪府高槻市宮田町１丁目２−１,0台
エディオン京橋,大阪府大阪市城東区蒲生１−９−１０,0台
ライフ高石,大阪府高石市高師浜３−２０−２０　玩具売場,0台
ライフ国分,大阪府柏原市国分本町１−１　玩具売場,0台
