店名,住所,台数
タイトーステーション旭サンモール,千葉県旭市イ−２６７６−１　サンモール３Ｆ,0台
タイトーＦステーションイオン市川妙典,千葉県市川市妙典４丁目１番１号　イオン市川妙典店２番街２階,0台
モーリーファンタジー八千代緑が丘,千葉県八千代市緑が丘２丁目１−３イオン４Ｆ,0台
セガ我孫子,千葉県我孫子市柴崎字天王台　４７−１,0台
タイトーステーション茂原アスモ,千葉県茂原市高師１７３５　　茂原ショッピングプラザ　アスモ２Ｆ,0台
タイトーステーション船橋,千葉県船橋市本町１丁目６−１,0台
ビックカメラ柏,千葉県柏市柏市１−１−２０スカイプラザ柏玩具売り場,0台
イオン館山,千葉県館山市八幡５４５−１玩具売場,0台
イオン銚子,千葉県銚子市三崎町２−２６６０−１玩具売場,0台
イオン臼井,千葉県佐倉市王子台１−２３玩具売場,0台
イオン千葉ニュータウン,千葉県印西市中央北３−１−１玩具売場,0台
イオン八千代緑が丘,千葉県八千代市緑が丘２−１−３玩具売場,0台
イオンキッズ津田沼,千葉県習志野市津田沼１−２３−１玩具売場,0台
イオン稲毛,千葉県千葉市稲毛区小仲台１−４−２０玩具売場,0台
イオン鎌取,千葉県千葉市緑区おゆみ野３−１６−１玩具売場,0台
イオン幕張,千葉県千葉市美浜区ひび野１−３玩具売場,0台
イオン鎌ヶ谷,千葉県鎌ケ谷市新鎌ヶ谷２丁目７番１号　イオン２Ｆ玩具売場,0台
イオン市川妙典,千葉県市川市妙典５−３−１ホビー売場,0台
イオン船橋,千葉県船橋市山手１−１−８玩具売場,0台
イオン柏,千葉県柏市豊町２−５−２５玩具売場,0台
ミスターマックスおゆみの,千葉県千葉市おゆみ野中央２−３−１,0台
パラボランド東金,千葉県東金市東岩崎８−１０サンピア３Ｆ,0台
ＪＯＹＦＵＬ−２富里,千葉県富里市七栄５２５−２４玩具売場,0台
ミスターマックス新習志野,千葉県習志野市茜浜２−２−１,0台
カインズホーム銚子,千葉県銚子市芦崎町８１０,0台
ベイシア大網白里,千葉県山武郡大網白里町大網２７３−２,0台
カインズホーム八日市場,千葉県匝瑳市八日市場口字横田１１８,0台
カインズホーム旭飯岡,千葉県旭市三川字犬林セの４３３４−１,0台
ベイシアちば古市場,千葉県千葉市緑区古市場９０６−２９,0台
ザ・プライス五香,千葉県松戸市常盤平５−２２−３玩具売場,0台
レジャーランド野田,千葉県野田市吉春７７６−１,0台
ミスターマックス千葉美浜,千葉県千葉市美浜区新港３２番１１号,0台
メルヘンランドアメリー大網,千葉県山武郡大網白里町みやこ野１−１−１大網白里アメリー３階,0台
テクモピア船橋,千葉県船橋市浜町２−２−７ビビット南船橋４階,0台
ヤマダ電機テックランド船橋本店,千葉県船橋市北本町２−５８−５,0台
宝島新浦安,千葉県浦安市入船１−４−１イオン新浦安店４Ｆ,0台
ハローズガーデン木更津,千葉県木更津市ほたる野４−２−４８アピタ木更津店２Ｆ,0台
ゲオ富里,千葉県富里市七栄５７５番地,0台
ＣＬＵＢＳＥＧＡ稲毛オーツーパーク,千葉県千葉市稲毛区園生町３８０−１,0台
セガららぽーとＴＯＫＹＯ−ＢＡＹ,千葉県船橋市浜町２−１−１　北館１階　Ｅ１２２区画,0台
イオンユーカリが丘,千葉県佐倉市西ユーカリが丘６丁目１２番地の３,0台
モーリーファンタジー五香,千葉県松戸市五香８−４４−６,0台
タイトーＦステーション柏中央店,千葉県柏市十余ニ２４９−５　ＭＥＭ内,0台
トムソーヤの仲間たちアリオ市原,千葉県市原市更級４−３−２アリオ内２階,0台
