店名,住所,台数
セガメイカーズピア名古屋,愛知県名古屋市港区金城ふ頭２−７−１,0台
モーリーファンタジーピアゴ大和,愛知県一宮市大和町毛受字一本松１９番地ピアゴ大和店２Ｆ,0台
モーリーファンタジー岡崎,愛知県岡崎市上六名町字宮前１ショッピングセンターコムタウン１Ｆ,0台
モーリーファンタジー上飯田,愛知県名古屋市北区織部町１ダイエー上飯田店３Ｆ,0台
ピアゴ碧南,愛知県碧南市天王町２丁目１番地　　玩具売場,0台
ピアゴ洞,愛知県岡崎市洞町字的場７２番地２　玩具売場,0台
ピアゴ印場,愛知県尾張旭市庄中町鳥居１６５２番地２　玩具売場,0台
ピアゴ江南,愛知県江南市村久野町瀬頭１６３　玩具売場,0台
ピアゴ大清水,愛知県豊橋市南大清水町字富士見７００−１　玩具売場,0台
ピアゴ八剱,愛知県岩倉市八剱町長野１番地３　玩具売場,0台
ピアゴ篠木,愛知県春日井市下市場町３丁目６番地２　玩具売場,0台
ピアゴ妙興寺,愛知県一宮市大和町妙興寺字白山西３番地２　玩具売場,0台
ピアゴ清水山,愛知県名古屋市緑区清水山１−５０１　玩具売場,0台
アピタ岩倉,愛知県岩倉市旭町１丁目２５番地　　玩具売場,0台
アピタ木曽川,愛知県一宮市木曽川町黒田八ノ通５１番地の４　玩具売場,0台
ピアゴ知立,愛知県知立市新地町番割６４番地　玩具売場,0台
ピアゴ国府,愛知県豊川市国府町桜田１０３番地　玩具売場,0台
ピアゴラフーズコアアラタマ,愛知県名古屋市南区駈丘１−１−３１,0台
ピアゴ平針,愛知県名古屋市天白区平針二丁目１２０１番地　玩具売場,0台
ピアゴ西城,愛知県名古屋市守山区村合町１７５番地　玩具売場,0台
アピタ名古屋南,愛知県名古屋市南区豊田四丁目９番４７号　玩具売場,0台
ヨドバシカメラマルチメディア名古屋松坂屋,愛知県名古屋市中区栄3?16?1,0台
ビックカメラＪＲゲートタワー,愛知県名古屋市中村区名駅１−１−３　９階・１０階,0台
