店名,住所,台数
プレイランド川崎,神奈川県川崎市川崎区小田栄二丁目２－１イトーヨーカドー川崎店３Ｆ,0台
モーリーファンタジー向ヶ丘,神奈川県川崎市多摩区登戸２７８９,0台
モーリーファンタジー川崎小田栄,神奈川県川崎市川崎区小田栄２－３－１ホームセンターコーナン２階,0台
ヤマダ電機テックランド向ヶ丘,神奈川県川崎市宮前区平２－３－１０,0台
ヨドバシカメラマルチメディア川崎ルフロン,神奈川県川崎市川崎区日進町１－１１４Ｆ玩具売場,0台
西友武蔵新城,神奈川県川崎市中原区上新城２－１２－１玩具売場,0台
富士シティオ稲田堤,神奈川県川崎市多摩区菅３－１２－３６,0台
アドアーズ橋本,神奈川県相模原市緑区橋本３－３－１ＳＩＮＧ橋本２Ｆ,0台
アピナ橋本,神奈川県相模原市緑区西橋本５－１－１ラ・フロール駐車場棟１階,0台
イオン橋本,神奈川県相模原市緑区橋本６－２－１玩具売場,0台
イトーヨーカドーアリオ橋本,神奈川県相模原市緑区大山町１ー２２玩具売場,0台
イトーヨーカドー古淵,神奈川県相模原市古淵３－１３－３３玩具売場,0台
イトーヨーカドー相模原,神奈川県相模原市南区松が枝町１７－１玩具売場,0台
エブリデイＦＵＮハウスこころっこ橋本,神奈川県相模原市緑区大山町１－２２アリオ橋本店内２階,0台
コーナン相模原西橋本,神奈川県相模原市緑区西橋本５－４－３ホームセンターコーナン相模原西橋本店内,0台
ジョーシン相模原小山,神奈川県相模原市中央区小山３－３７－１,0台
セガワールド古淵,神奈川県相模原市南区古淵３－１３－３３イトーヨーカドー古淵店３Ｆ,0台
ドラマ淵野辺,神奈川県相模原市中央区共和４－２－１６,0台
ニコパニトリモール相模原,神奈川県相模原市南区大野台６－１－１ニトリモール相模原３Ｆ,0台
ビックカメラ相模大野駅,神奈川県相模原市南区相模大野３－８－１相模大野ステーションスクエアＢ館６Ｆ,0台
モーリーファンタジー相模原小山,神奈川県相模原市中央区小山３－３７－１相模原小山モール２Ｆ,0台
イトーヨーカドー大和鶴間,神奈川県大和市下鶴間１－３－１玩具売場,0台
プレイランド大和鶴間,神奈川県大和市下鶴間一丁目３－１イトーヨーカドー大和鶴間店３Ｆ,0台
モーリーファンタジー大和,神奈川県大和市下和田字上ノ原１２１６－１イオン３Ｆ,0台
モーリーファンタジー大和鶴間,神奈川県大和市下鶴間１丁目２番１号イオン３Ｆ,0台
ヤマダ電機テックランドＮＥＷ大和深見,神奈川県大和市深見台１－１,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ湘南,神奈川県藤沢市辻堂新町四丁目１番１号　湘南モールＦＩＬＬ２Ｆ,0台
イトーヨーカドー湘南台,神奈川県藤沢市石川６－２－１玩具売場,0台
イトーヨーカドー藤沢,神奈川県藤沢市鵠沼石上１－１０－１玩具売場,0台
タイトーステーション藤沢,神奈川県藤沢市南藤沢２１?１,0台
ドラマ藤沢,神奈川県藤沢市本藤沢５－６－８,0台
ハローズガーデン湘南,神奈川県藤沢市遠藤６９８－１０湘南とうきゅうショッピングセンター２Ｆ,0台
ビックカメラ藤沢,神奈川県藤沢市藤沢５５９増田ビル遊行通り共同ビル６Ｆ玩具売り場,0台
楽市楽座湘南藤沢,神奈川県藤沢市辻堂新町４丁目３番５号ミスターマックス湘南藤沢ＳＣ２階,0台
ピアゴ大雄山,神奈川県南足柄市関本５６９番地玩具売場,0台
ＹＡＺ平塚,神奈川県平塚市田村１－４－２６,0台
トイザらス平塚,神奈川県平塚市代官町３３－１ＯＳＣ湘南シティ１Ｆ,0台
西友平塚,神奈川県平塚市東中原１－１－２５玩具売場,0台
