店名,住所,台数
モーリーファンタジー姫路大津,兵庫県姫路市大津区大津町２丁目５番イオンモール２Ｆ,0台
モーリーファンタジー姫路ＲＣ,兵庫県姫路市飾磨区細江２５６０番地イオン１Ｆ,0台
タイトーＦステーション姫路,兵庫県姫路市駅前町２６９番地？２７０番地？,0台
ＭＥＧＡドン・キホーテ姫路広畑,兵庫県姫路市広畑夢前町１－１－１,0台
イオン姫路大津,兵庫県姫路市大津町２－５玩具売場,0台
イオン姫路,兵庫県姫路市増位本町２－１２－１０玩具売場,0台
遊楽舎姫路花田,兵庫県姫路市花田町上原田２－１２Ｆ,0台
セガワールド花北,兵庫県姫路市増位新町１－６２Ｆ,0台
ハローズガーデン広畑,兵庫県姫路市広畑区夢前町１－１－１ＭＥＧＡドンキホーテ姫路広畑店１階,0台
ハローズ夢前台,兵庫県姫路市上手野３１０－８,0台
ハローズガーデン姫路,兵庫県姫路市増位本町２－１２－１０イオン姫路店２Ｆ,0台
ふぇすたらんど広畑,兵庫県姫路市広畑区吾妻町３－２９－２マルナカ広畑店内,0台
モーリーファンタジー宝塚中山,兵庫県宝塚市売布東の町２１－２２,0台
トイザらス明石,兵庫県明石市東仲ノ町６－１アスピア明石南館３Ｆ,0台
イトーヨーカドー明石,兵庫県明石市二見町西二見１４５４玩具売場,0台
モーリーファンタジー明石,兵庫県明石市大久保町ゆりのき通り３－３－１,0台
イオン明石,兵庫県明石市大久保町ゆりのき通り３－３－１イオン明石３番街３Ｆ玩具売場,0台
セガ明石,兵庫県明石市魚住町清水２４６４－１ドライブインなかざわ,0台
ふぇすたらんど土山,兵庫県明石市魚住町清水字舞々２２０８－１イオン土山店内,0台
エディオン太子,兵庫県揖保郡太子町東南５９８－１,0台
